scientificName,mat_change,tap_change,sea_t_change,sea_p_change
Accipiter_gentilis,1.70879013829193,-21.6097366489408,-46.8389760702842,0.049975602001002
Accipiter_nisus,1.70876554748847,-21.6001324353189,-46.8422720736754,0.0499675767709605
Acrocephalus_arundinaceus,1.73337565521799,-19.4664655144822,-46.8421695917424,0.0560914148645642
Acrocephalus_palustris,1.70896788756906,-21.7038939190149,-46.8076126634246,0.0499279044302382
Acrocephalus_scirpaceus,1.71883483786481,-21.4063056710922,-46.4255257772099,0.0525656343474758
Actitis_hypoleucos,1.71735710238144,-20.7867922141507,-47.3559253460231,0.0506522507002455
Aegithalos_caudatus,1.70900337324068,-21.6186706856977,-46.8301079338812,0.0500308054393927
Aegolius_funereus,1.65932443515475,-27.7473460418926,-45.7499530850859,0.0509193525256678
Alauda_arvensis,1.70869551415835,-21.5865697447437,-46.8489718636075,0.0499460876006149
Alcedo_atthis,1.70730844877578,-22.4656306259402,-46.7142854244431,0.0495286649357168
Anas_platyrhynchos,1.71095157918819,-21.7071489536021,-46.7214123278134,0.0514614869063692
Anthus_pratensis,1.68420273450538,-26.4560326115276,-46.0227029851248,0.0539561242811774
Anthus_trivialis,1.70867382108463,-21.584574354046,-46.8506229239934,0.0499370301337584
Apus_apus,1.70885037214104,-21.5979541237426,-46.838269899755,0.0499960081769588
Ardea_cinerea,1.71114699647391,-23.2162284040945,-46.4959666553541,0.0566188899707475
Asio_otus,1.70902868230266,-21.9109574564131,-46.7111326481546,0.0503274046063247
Athene_noctua,1.7109372139984,-21.8353044993132,-46.6871428773729,0.0506761767377576
Aythya_ferina,1.71581424806225,-22.7430727218216,-45.8016649901096,0.0564775595902375
Aythya_fuligula,1.7135895221018,-23.8380731825594,-45.9018366910198,0.0551506360242591
Bubo_bubo,1.69621974246567,-25.6237684549513,-45.8302811701943,0.0492234548993009
Buteo_buteo,1.70868734968091,-21.5873782906262,-46.8483877064561,0.0499450356429366
Carduelis_carduelis,1.70911748640946,-21.6351496244315,-46.8230111252883,0.050046870905617
Carpodacus_erythrinus,1.65414776720623,-24.3210419184377,-49.1292431268964,0.0307765910734401
Certhia_brachydactyla,1.71867658551055,-21.3552591316041,-46.3462404706937,0.0549485108308711
Certhia_familiaris,1.70798353022918,-22.3723863808897,-46.6433355581065,0.048987766909365
Charadrius_dubius,1.71265810264898,-21.7235680596944,-46.702793626328,0.05133046398298
Chloris_chloris,1.7087084669424,-21.5866290878832,-46.8479165748028,0.0499530349061228
Ciconia_ciconia,1.70150844992207,-26.1551682778924,-46.392276114268,0.0473631239813605
Ciconia_nigra,1.69039052503348,-25.3775986282425,-46.6177443392295,0.0465254727306878
Cinclus_cinclus,1.67847153243027,-27.03375071829,-46.3532664091653,0.0440562603810079
Circus_aeruginosus,1.73022736667668,-20.8472219572639,-46.3091508100066,0.0570232804821693
Coccothraustes_coccothraustes,1.70951456895343,-21.4513227297115,-46.845299793342,0.0500103623056396
Columba_livia,1.71291410073342,-21.659901576446,-46.5922443377102,0.053464383794244
Columba_oenas,1.70404346821623,-21.909929396106,-47.4962032695785,0.0450310973240977
Columba_palumbus,1.70876618757721,-21.6012857474011,-46.8428604992263,0.049970506966773
Corvus_corax,1.72316366750649,-17.7119649891109,-47.8041866717752,0.0413089533669094
Corvus_corone,1.70868275713921,-21.5895199288893,-46.8491347397507,0.04993784411903
Corvus_monedula,1.70301898375235,-23.9031523974073,-46.2570074406442,0.0472972733675564
Coturnix_coturnix,1.70665800512914,-25.5076885557764,-45.9382148325803,0.0515431257174681
Crex_crex,1.70055163624993,-23.2805421069951,-47.0515917089879,0.0447880137677776
Cuculus_canorus,1.70873921434599,-21.5916158714372,-46.8453813887878,0.0499601020825722
Curruca_communis,1.70899473289892,-21.5559503890773,-46.8377389356177,0.049994352910018
Curruca_curruca,1.708745898248,-21.5886355257045,-46.8451121254739,0.0499640501708413
Cyanistes_caeruleus,1.70875410698454,-21.5951683593054,-46.8444776359484,0.0499635892238924
Cygnus_olor,1.71955673525668,-21.4277913899073,-46.148842127311,0.0559147626583889
Delichon_urbicum,1.70869028322148,-21.5855487759883,-46.849172216642,0.0499476788750206
Dendrocopos_major,1.70871318831304,-21.5878576632365,-46.8477464107936,0.0499505657743275
Dryobates_minor,1.71049104633596,-21.7191704529884,-46.7444163698514,0.0504648443221767
Dryocopus_martius,1.70883664200584,-21.6928790592764,-46.8016764347089,0.050064950581445
Emberiza_calandra,1.76982150630546,-10.9691325211671,-47.0909259614084,0.0583384892314104
Emberiza_citrinella,1.70869896743049,-21.5865485016104,-46.8484538879276,0.0499493788775431
Emberiza_schoeniclus,1.71278856173006,-22.8722181818865,-46.2394724019781,0.0530984819469136
Erithacus_rubecula,1.70873652719241,-21.5967672018913,-46.8439853289949,0.0499641934010025
Falco_tinnunculus,1.70916592794678,-21.6608912312296,-46.8132437750545,0.0500633674440776
Ficedula_albicollis,1.7300467981128,-16.6094372197528,-47.8740445040354,0.0467109048596963
Ficedula_hypoleuca,1.71954600141211,-19.6002086365479,-47.081951388111,0.0482146619548228
Ficedula_parva,1.69474279180181,-22.6247515974203,-47.1398992452132,0.0459434879371107
Fringilla_coelebs,1.70869717333391,-21.5855884552218,-46.8486228943673,0.0499490821572945
Fulica_atra,1.71942159063885,-21.4979190792289,-46.3574670848386,0.0552847700449168
Gallinago_gallinago,1.69559836522537,-27.6973258542673,-45.4439770263754,0.0584135324443998
Gallinula_chloropus,1.72038542917292,-21.0525998893655,-46.3883714594723,0.0534009195354166
Garrulus_glandarius,1.70908985666848,-21.6484278627273,-46.8204576291285,0.0500614575658834
Glaucidium_passerinum,1.68174197176309,-27.5635127078762,-45.8592831192471,0.0597284921599956
Haliaeetus_albicilla,1.70628803629712,-19.0307496891449,-46.1306496839062,0.0678696180551467
Hippolais_icterina,1.70962163152624,-21.688097161775,-46.7878466147243,0.0502122270048603
Hirundo_rustica,1.70870035282946,-21.5857950314103,-46.8487046897508,0.0499495381250427
Jynx_torquilla,1.71701668097178,-21.8594542289213,-46.4971748286398,0.0515419821537805
Lanius_collurio,1.70898957192776,-21.6125365167152,-46.8296765075153,0.0500365992913456
Larus_ridibundus,1.73078361916297,-20.5531783923466,-46.3669255403384,0.0578556010258719
Leiopicus_medius,1.73078377798896,-16.7381368866611,-47.3186711523521,0.0546126067038314
Linaria_cannabina,1.7087215176854,-21.5916279880707,-46.846863579876,0.0499533092240679
Locustella_fluviatilis,1.71498991916717,-22.2463997972856,-46.3960655245804,0.051254561166249
Locustella_naevia,1.70943434682877,-21.7435470466509,-46.7705826786934,0.0503596428196025
Lophophanes_cristatus,1.70504075916907,-23.5064196918893,-46.351384511167,0.0478177944203609
Loxia_curvirostra,1.69021466812195,-25.8494096994496,-46.0860681817904,0.0485566170242893
Lullula_arborea,1.72013265764244,-20.870069827569,-46.2993309795634,0.0544568675444543
Luscinia_megarhynchos,1.76682353280266,-14.3504810203008,-47.0195465246712,0.0565323369557872
Milvus_migrans,1.72028226733455,-16.941710874254,-48.2286304695583,0.0658667714231697
Milvus_milvus,1.74971684434993,-11.8609758158725,-48.6763132585297,0.0625050232146372
Motacilla_alba,1.70874608641083,-21.5969967049305,-46.8443756376668,0.0499634395192058
Motacilla_cinerea,1.7054568921475,-23.0860348838797,-46.2528128130746,0.0485556655058991
Muscicapa_striata,1.70870260527819,-21.5756717002856,-46.8436781633589,0.0498703669752326
