atlas,transition,median_N,median_perc,mad_perc,q025,q975,trans
New Zealand,aggregated>>aggregated,340,41.6156670746634,1.36101591187271,39.2900856793146,44.391064871481,stable
New Zealand,neutral>>aggregated,39,4.77356181150551,0.725875152998776,2.99571603427173,6.48714810281518,changing
New Zealand,aggregated>>neutral,42,5.14075887392901,0.907343941248469,3.73011015911873,6.85434516523868,changing
Czechia,neutral>>segregated,289.5,6.63230240549828,0.492501718213059,5.4163802978236,7.58533791523482,changing
Czechia,segregated>>segregated,332,7.60595647193585,0.594398625429553,6.75715922107675,8.80068728522337,stable
Czechia,aggregated>>neutral,509,11.6609392898053,0.951037800687284,9.98625429553265,13.3127147766323,changing
Czechia,aggregated>>aggregated,1189.5,27.2508591065292,1.01896907216495,25.2560137457045,29.3928980526919,stable
Czechia,aggregated>>segregated,178,4.07789232531501,0.492501718213059,3.14604810996564,5.09908361970218,changing
Czechia,segregated>>aggregated,228.5,5.2348224513173,0.679312714776633,4.02978235967927,6.39747995418098,changing
Czechia,neutral>>neutral,639,14.639175257732,0.93405498281787,13.0658648339061,16.2233676975945,stable
Czechia,neutral>>aggregated,727,16.6552119129439,1.25672852233677,14.0171821305842,18.8625429553265,changing
Czechia,segregated>>neutral,281.5,6.44902634593356,0.560432989690721,5.54066437571592,7.57560137457045,changing
Europe,segregated>>neutral,829,3.2866827895175,0.199850929707013,2.91321412996075,3.68393926178488,changing
Europe,aggregated>>segregated,1642.5,6.51191372953257,0.44966459184078,5.69807318717044,7.42546485350672,changing
Europe,neutral>>neutral,332.5,1.31824128771359,0.0911085120723151,1.13765214288546,1.50477738571938,stable
Europe,segregated>>aggregated,1715.5,6.80133211751179,0.490810371486342,6.03734686595568,7.57740950719581,changing
Europe,aggregated>>aggregated,11146,44.1898267454308,0.555468025215081,43.3110652975459,45.4492923125719,stable
Europe,segregated>>segregated,6546.5,25.9544859850137,0.584857867819049,25.0909883836181,26.7376997185109,stable
Europe,neutral>>segregated,873,3.46112674939539,0.176339055623835,3.09221742060818,3.78226222098878,changing
Europe,neutral>>aggregated,1126,4.46417951869326,0.264508583435753,4.11132696348571,4.92427546287119,changing
Europe,aggregated>>neutral,1008.5,3.99833485311026,0.18221702414463,3.64667168853824,4.25256710145502,changing
New Zealand,neutral>>segregated,27,3.30477356181151,0.725875152998776,2.32558139534884,4.71542227662179,changing
New Zealand,aggregated>>segregated,38,4.65116279069768,1.08881272949816,2.98959608323133,7.04100367197062,changing
New Zealand,neutral>>neutral,17,2.08078335373317,0.544406364749082,1.28212974296206,3.12423500611995,stable
New Zealand,segregated>>aggregated,49,5.99755201958384,1.08881272949816,3.73011015911873,7.83353733170135,changing
New Zealand,segregated>>segregated,224,27.4173806609547,0.907343941248469,25.2723378212974,29.4981640146879,stable
New Zealand,segregated>>neutral,40,4.89596083231334,0.544406364749083,3.79436964504284,6.42900856793146,changing
New York,segregated>>aggregated,362.5,4.40729483282675,0.603855319148936,3.39088145896657,5.49452887537994,changing
New York,aggregated>>segregated,348,4.23100303951368,0.630893617021277,3.20790273556231,5.21641337386018,changing
New York,segregated>>segregated,2040,24.8024316109423,0.558791489361702,23.3039513677812,26.2978723404255,stable
New York,neutral>>segregated,385,4.68085106382979,0.369523404255319,4.03009118541033,5.42310030395137,changing
New York,neutral>>neutral,495,6.01823708206687,0.306434042553191,5.28237082066869,6.49939209726444,stable
New York,aggregated>>aggregated,3181,38.6747720364742,0.901276595744685,37.1285714285714,40.7048632218845,stable
New York,neutral>>aggregated,506,6.15197568389058,0.531753191489362,5.29452887537994,6.96717325227963,changing
New York,segregated>>neutral,363.5,4.41945288753799,0.414587234042553,3.6838905775076,5.1306990881459,changing
New York,aggregated>>neutral,538.5,6.54711246200608,0.4236,5.71945288753799,7.31914893617021,changing
